OCC_CODE,AREA_TITLE,A_MEDIAN
27-4031,Wisconsin,"52,810"
27-4032,Wisconsin,"53,430"
41-3011,Wisconsin,"63,270"
11-2021,Wyoming,"161,580"
13-1161,Wyoming,"60,990"
27-2012,Wyoming,"60,420"
27-3023,Wyoming,"36,040"
27-3031,Wyoming,"67,490"
27-3041,Wyoming,"46,710"
27-4011,Wyoming,"49,680"
41-3011,Wyoming,"47,290"
11-2021,Guam,"79,890"
13-1161,Guam,"42,240"
27-3031,Guam,"48,460"
11-2011,Puerto Rico,"68,620"
11-2032,Puerto Rico,"72,290"
13-1161,Puerto Rico,"39,330"
27-1011,Puerto Rico,"57,580"
27-2012,Puerto Rico,"48,820"
27-3023,Puerto Rico,"44,870"
27-3031,Puerto Rico,"44,950"
27-3041,Puerto Rico,"39,640"
27-4011,Puerto Rico,"30,860"
27-4014,Puerto Rico,"35,180"
27-4031,Puerto Rico,"38,380"
27-4032,Puerto Rico,"44,490"
41-3011,Puerto Rico,"44,160"
11-2021,Virgin Islands,"97,760"
13-1161,Virgin Islands,"59,990"
27-3031,Virgin Islands,"59,990"
